[1.0, -0.0]
[0.995, -0.098]
[0.981, -0.195]
[0.957, -0.29]
[0.924, -0.383]
[0.882, -0.471]
[0.831, -0.556]
[0.773, -0.634]
[0.707, -0.707]
[0.634, -0.773]
[0.556, -0.831]
[0.471, -0.882]
[0.383, -0.924]
[0.29, -0.957]
[0.195, -0.981]
[0.098, -0.995]
[0.0, -1.0]
[-0.098, -0.995]
[-0.195, -0.981]
[-0.29, -0.957]
[-0.383, -0.924]
[-0.471, -0.882]
[-0.556, -0.831]
[-0.634, -0.773]
[-0.707, -0.707]
[-0.773, -0.634]
[-0.831, -0.556]
[-0.882, -0.471]
[-0.924, -0.383]
[-0.957, -0.29]
[-0.981, -0.195]
[-0.995, -0.098]
